A.

Decimal     Octal       Hexadecimal
50            50            50
51            51            51
52            52            52
53            53            53
54            54            54
55            55            55
56            56            56
57            57            57
58            60            58
59            61            59
60            62            5A
61            63            5B
62            64            5C
63            65            5D
64            66            5E

B.

Decimal     Base 14
11          11
12          12
13          13
14          14
15          15
16          16
17          17
18          18
19          19
20          1A
21          1B
22          1C
23          1D
24          20
25          21
26          22
27          23
28          24
29          25
30          26
