I5 I4 I3 I2 I1 I0  | D6 D5 D4 D3 D2 D1 D0
-----------------------------------------
0  0  0  0  0  0   | 0  0  0  0  0  0  0
0  0  0  0  0  1   | 0  0  0  0  0  0  1
......             |
0  1  0  0  0  0   | 0  0  1  0  1  1  0
0  1  0  0  0  1   | 0  0  1  0  1  1  1
......             |
0  1  0  0  0  0   | 0  0  1  0  1  1  0
0  1  0  0  0  1   | 0  0  1  0  1  1  1
......             |
1  1  0  0  0  0   | 1  0  0  1  0  0  0
1  1  0  0  0  1   | 1  0  0  1  0  0  1
......             |
1  1  1  1  1  0   | 1  1  0  0  0  1  0
1  1  1  1  1  1   | 1  1  0  0  0  1  1
